grid_id,latitude,longitude
5_49,53.345165,-6.378506
5_50,53.346063,-6.378451
5_51,53.346961,-6.378396
5_52,53.347859,-6.378341
5_53,53.348757,-6.378286
5_54,53.349655,-6.378231
5_55,53.350553,-6.378176
5_56,53.35145,-6.37812
5_57,53.352348,-6.378065
5_58,53.353246,-6.37801
5_59,53.354144,-6.377955
5_60,53.355042,-6.3779
5_61,53.35594,-6.377845
5_62,53.356838,-6.377789
5_63,53.357736,-6.377734
5_64,53.358634,-6.377679
5_65,53.359532,-6.377624
5_66,53.36043,-6.377569
5_67,53.361328,-6.377514
5_68,53.362226,-6.377459
5_69,53.363124,-6.377403
5_70,53.364022,-6.377348
5_71,53.36492,-6.377293
5_72,53.365818,-6.377238
5_73,53.366716,-6.377183
5_74,53.367613,-6.377127
5_75,53.368511,-6.377072
5_76,53.369409,-6.377017
5_77,53.370307,-6.376962
5_78,53.371205,-6.376907
5_79,53.372103,-6.376851
5_80,53.373001,-6.376796
5_81,53.373899,-6.376741
5_82,53.374797,-6.376686
5_83,53.375695,-6.376631
5_84,53.376593,-6.376575
5_85,53.377491,-6.37652
5_86,53.378389,-6.376465
5_87,53.379287,-6.37641
5_88,53.380185,-6.376354
5_89,53.381083,-6.376299
5_90,53.381981,-6.376244
5_91,53.382879,-6.376189
5_92,53.383776,-6.376134
5_93,53.384674,-6.376078
5_94,53.385572,-6.376023
5_95,53.38647,-6.375968
5_96,53.387368,-6.375913
5_97,53.388266,-6.375857
5_98,53.389164,-6.375802
5_99,53.390062,-6.375747
5_100,53.39096,-6.375691
5_101,53.391858,-6.375636
5_102,53.392756,-6.375581
5_103,53.393654,-6.375526
5_104,53.394552,-6.37547
5_105,53.39545,-6.375415
5_106,53.396348,-6.37536
5_107,53.397246,-6.375305
5_108,53.398144,-6.375249
5_109,53.399041,-6.375194
5_110,53.399939,-6.375139
5_111,53.400837,-6.375083
5_112,53.401735,-6.375028
5_113,53.402633,-6.374973
5_114,53.403531,-6.374917
5_115,53.404429,-6.374862
5_116,53.405327,-6.374807
5_117,53.406225,-6.374752
5_118,53.407123,-6.374696
5_119,53.408021,-6.374641
5_120,53.408919,-6.374586
5_121,53.409817,-6.37453
5_122,53.410715,-6.374475
5_123,53.411613,-6.37442
5_124,53.412511,-6.374364
5_125,53.413408,-6.374309
5_126,53.414306,-6.374254
6_0,53.301132,-6.379704
6_1,53.30203,-6.379649
6_2,53.302928,-6.379594
6_3,53.303826,-6.379539
6_4,53.304724,-6.379484
6_5,53.305622,-6.379429
6_6,53.30652,-6.379374
6_7,53.307418,-6.379319
6_8,53.308316,-6.379264
6_9,53.309214,-6.379209
6_10,53.310112,-6.379154
6_11,53.31101,-6.379099
6_12,53.311908,-6.379044
6_13,53.312806,-6.378989
6_14,53.313704,-6.378934
6_15,53.314601,-6.378879
6_16,53.315499,-6.378824
6_17,53.316397,-6.378769
6_18,53.317295,-6.378714
6_19,53.318193,-6.378659
6_20,53.319091,-6.378604
6_21,53.319989,-6.378549
6_22,53.320887,-6.378494
6_23,53.321785,-6.378439
6_24,53.322683,-6.378384
6_25,53.323581,-6.378328
6_26,53.324479,-6.378273
6_27,53.325377,-6.378218
6_28,53.326275,-6.378163
6_29,53.327173,-6.378108
6_30,53.328071,-6.378053
